,name,formula,Tc,Pc,dh_form,dh_comb,dg_form,ds_form
39,2-Methyl-1-butene,C5H10,465.0,3450000.0,-35300.0,-3115900.0,66680.0,339.5
40,2-Methyl-2-butene,C5H10,471.0,3380000.0,-41800.0,-3108800.0,60450.0,338.6
41,"1,2-Butadiene",C4H6,452.0,4360000.0,162300.0,-2461700.0,198600.0,293.0
42,"1,3-Butadiene",C4H6,425.17,4300000.0,109240.0,-2409000.0,149720.0,278.89
43,"2-Methyl-1,3-butadiene",C5H8,484.0,3850000.0,75730.0,-2984200.0,145896.0,315.64
44,Acetylene,C2H2,308.32,6150000.0,228200.0,-1257000.0,210680.0,200.81000000000003
45,Methylacetylene,C3H4,402.39,5620000.0,184899.99999999997,-1848700.0,193840.0,248.36
46,Dimethylacetylene,C4H6,473.2,4870000.0,145700.0,-2418900.0,184899.99999999997,283.3
47,3-Methyl-1-butyne,C5H8,463.2,4200000.0,138000.0,-3046000.0,207200.0,318.9
48,1-Pentyne,C5H8,481.2,4170000.0,144400.0,-3051000.0,210300.0,329.8
49,2-Pentyne,C5H8,519.0,4019999.9999999995,125100.0,-3029100.0,190700.0,330.84
50,1-Hexyne,C6H10,516.2,3640000.0,123699.99999999999,-3661000.0,218500.0,369.4
51,2-Hexyne,C6H10,549.0,3530000.0,105000.0,-3640000.0,199000.0,372.0
52,3-Hexyne,C6H10,544.0,3540000.0,106000.0,-3640000.0,199000.0,376.0
53,1-Heptyne,C7H12,559.0,3130000.0,103000.0,-4271700.0,227000.0,408.5
54,1-Octyne,C8H14,585.0,2820000.0,82300.0,-4881500.0,235000.0,447.79999999999995
55,Vinylacetylene,C4H4,454.0,4890000.0,304600.0,-2362000.0,306000.0,279.4
56,Cyclopentane,C5H10,511.76,4500000.0,-77030.0,-3070900.0,38850.0,292.9
57,Methylcyclopentane,C6H12,532.79,3780000.0,-106199.99999999999,-3674100.0,36300.0,339.9
58,Ethylcyclopentane,C7H14,569.52,3400000.0,-126900.0,-4283900.0,44800.00000000001,378.3
59,Cyclohexane,C6H12,553.58,4099999.9999999995,-123300.0,-3656000.0,31910.0,297.28
60,Methylcyclohexane,C7H14,572.19,3480000.0,-154800.0,-4257100.0,27330.0,343.29999999999995
61,"1,1-Dimethylcyclohexane",C8H16,591.15,2940000.0,-181000.0,-4863900.0,35229.0,365.01
62,Ethylcyclohexane,C8H16,609.15,3040000.0,-171500.0,-4870500.0,39550.0,382.6
63,Cyclopentene,C5H8,507.0,4810000.0,33100.0,-2939300.0,110500.0,291.27
64,1-Methylcyclopentene,C6H10,542.0,4130000.0,-3800.0,-3534000.0,103800.00000000001,326.4
65,Cyclohexene,C6H10,560.4,4390000.0,-4600.0,-3532000.0,107700.0,310.52
66,Benzene,C6H6,562.16,4880000.0,82880.0,-3136000.0,129600.00000000001,269.3
67,Toluene,C7H8,591.8,4099999.9999999995,50170.0,-3734000.0,122200.0,320.99
68,o-Xylene,C8H10,630.33,3740000.0,19080.0,-4333000.0,122000.0,353.83
69,m-Xylene,C8H10,617.05,3530000.0,17320.0,-4331800.0,118760.0,358.53999999999996
70,p-Xylene,C8H10,616.23,3500000.0,18030.0,-4333000.0,121400.0,352.23
71,Ethylbenzene,C8H10,617.2,3600000.0,29920.0,-4345000.0,130730.0,360.63
72,Propylbenzene,C9H12,638.32,3200000.0,7910.0,-4954200.0,138090.0,398.43
73,"1,2,4-Trimethylbenzene",C9H12,649.13,3250000.0,-13799.999999999998,-4930700.0,117100.00000000001,396.09999999999997
74,Isopropylbenzene,C9H12,631.1,3180000.0,4000.0,-4951000.0,137900.0,386.0
